id,destino,prioridad,peso
296,Medellín,3,14.8
297,Cartagena,1,23.4
298,Cartagena,2,12.4
299,Pasto,2,14.6
300,Sincelejo,4,4.7
301,Valledupar,4,17.5
302,Valledupar,5,12.9
303,Manizales,5,24.5
304,Popayán,4,15.4
305,Popayán,2,14.4
306,Bucaramanga,5,19.6
307,Medellín,3,6.8
308,Manizales,5,11.9
309,Sincelejo,2,12.4
310,Bucaramanga,4,6.5
311,Sincelejo,5,21.3
312,Santa Marta,1,22.1
313,Villavicencio,4,4.7
314,Valledupar,2,15.5
315,Pasto,3,18.3
316,Riohacha,4,6.5
317,Villavicencio,3,13.6
318,Villavicencio,5,18.6
319,Armenia,5,23.3
320,Manizales,2,14.9
321,Bogotá,4,16.3
322,Medellín,4,5.5
323,Ipiales,2,16.5
324,Popayán,3,24.0
325,Villavicencio,4,18.2
326,Valledupar,4,13.5
327,Armenia,4,17.6
328,Sincelejo,2,16.3
329,Villavicencio,5,11.5
330,Montería,5,19.5
331,Medellín,1,19.2
332,Armenia,1,7.7
333,Barranquilla,2,8.5
334,Cali,3,16.0
335,Ipiales,1,9.5
336,Popayán,1,6.0
337,Manizales,2,15.0
338,Pereira,1,19.0
339,Bogotá,5,14.0
340,Ipiales,5,15.4
341,Ipiales,1,14.8
342,Santa Marta,3,19.7
343,Villavicencio,4,6.9
344,Bucaramanga,2,11.9
345,Sincelejo,2,14.4
346,Neiva,3,18.8
347,Medellín,5,9.6
348,Manizales,1,9.7
349,Montería,1,17.8
350,Montería,1,18.0
351,Montería,2,9.2
352,Valledupar,3,6.7
353,Popayán,2,23.8
354,Armenia,1,9.0
355,Santa Marta,1,8.6
356,Pasto,4,12.7
357,Bogotá,3,7.1
358,Pereira,2,6.0
359,Medellín,4,15.5
360,Tunja,2,20.1
361,Sincelejo,1,14.6
362,Manizales,2,4.7
363,Sincelejo,4,7.8
364,Cartagena,2,23.0
365,Pasto,2,17.4
366,Cartagena,1,4.9
367,Santa Marta,2,9.6
368,Pasto,3,17.5
369,Popayán,2,9.9
370,Medellín,2,10.0
371,Cartagena,4,8.6
372,Cali,4,21.1
373,Pasto,5,12.2
374,Bucaramanga,3,11.4
375,Santa Marta,3,15.2
376,Armenia,1,9.7
377,Montería,4,17.5
378,Popayán,1,23.8
379,Bucaramanga,1,18.2
380,Pasto,4,13.4
381,Neiva,3,8.7
382,Manizales,2,9.1
383,Medellín,1,15.1
384,Cali,3,6.5
385,Cartagena,3,19.1
386,Villavicencio,4,10.3
387,Pereira,1,6.6
388,Ipiales,1,24.4
389,Sincelejo,3,18.4
390,Bucaramanga,1,22.7
391,Montería,4,22.9
392,Cali,3,19.2
393,Cartagena,2,12.1
394,Bogotá,5,22.7
395,Villavicencio,1,4.8
396,Neiva,4,22.7
397,Ipiales,1,22.7
398,Pereira,5,22.7
399,Bucaramanga,1,12.1
400,Bucaramanga,2,11.6
401,Neiva,4,24.2
402,Medellín,5,12.0
403,Santa Marta,1,22.5
404,Riohacha,2,12.6
405,Cali,1,21.9
406,Villavicencio,5,7.1
407,Medellín,4,8.1
408,Montería,4,14.4
409,Cartagena,5,13.7
410,Riohacha,1,15.9
411,Ipiales,3,23.1
412,Armenia,3,10.6
413,Bogotá,4,17.7
414,Villavicencio,1,23.4
415,Villavicencio,1,10.3
416,Riohacha,2,11.4
417,Neiva,3,8.2
418,Montería,4,16.9
419,Sincelejo,5,9.1
420,Ipiales,3,17.3
421,Pasto,2,16.5
422,Montería,3,16.0
423,Riohacha,4,14.9
424,Pereira,1,23.3
425,Medellín,4,16.1
426,Manizales,1,22.7
427,Villavicencio,5,19.1
428,Riohacha,2,6.0
429,Armenia,4,22.5
430,Popayán,3,21.0
431,Manizales,2,17.3
432,Cali,2,15.3
433,Pasto,2,24.3
434,Villavicencio,5,23.4
435,Popayán,3,21.4
436,Pasto,4,16.7
437,Armenia,2,5.4
438,Barranquilla,5,9.9
439,Bucaramanga,3,23.6
440,Manizales,1,17.2
441,Cartagena,2,14.7
442,Bucaramanga,5,17.2
443,Popayán,2,8.2
444,Tunja,4,18.4
445,Manizales,5,9.5
446,Armenia,5,23.5
447,Sincelejo,1,19.3
448,Santa Marta,4,12.9
449,Sincelejo,1,16.3
450,Manizales,4,19.7
451,Riohacha,2,10.4
452,Bucaramanga,2,6.7
453,Popayán,4,10.1
454,Cali,1,17.7
455,Neiva,4,7.7
456,Montería,5,5.1
457,Pasto,3,10.7
458,Montería,3,5.4
459,Bucaramanga,4,4.6
460,Barranquilla,2,8.2
461,Cartagena,5,14.0
462,Manizales,5,24.6
463,Valledupar,5,21.9
464,Medellín,2,14.0
465,Pasto,1,12.5
466,Pereira,5,22.4
467,Ipiales,1,8.8
468,Manizales,4,6.1
469,Cartagena,4,9.9
470,Cali,3,24.2
471,Ipiales,4,12.9
472,Santa Marta,1,6.7
473,Pereira,5,10.1
474,Montería,5,15.3
475,Villavicencio,4,5.3
476,Riohacha,1,9.3
477,Cartagena,5,16.1
478,Neiva,3,17.4
479,Pereira,5,24.6
480,Riohacha,1,12.4
481,Bogotá,2,18.2
482,Barranquilla,2,17.1
483,Valledupar,5,12.6
484,Bucaramanga,4,8.8
485,Sincelejo,4,4.7
486,Manizales,2,10.8
487,Pasto,5,9.8
488,Tunja,4,8.5
489,Tunja,4,17.2
490,Ipiales,5,23.8
491,Neiva,1,7.7
492,Medellín,3,5.6
493,Manizales,5,8.0
494,Montería,1,14.3
495,Santa Marta,4,10.6
496,Armenia,1,18.4
497,Popayán,4,5.9
498,Medellín,5,23.8
499,Barranquilla,5,21.7
500,Cali,5,24.6
501,Ipiales,4,12.3
502,Bucaramanga,4,11.5
503,Neiva,2,18.3
504,Santa Marta,5,11.8
505,Santa Marta,2,21.4
506,Bucaramanga,1,23.1
507,Tunja,3,24.8
508,Bucaramanga,3,10.3
509,Popayán,3,23.7
510,Popayán,2,7.0
511,Barranquilla,3,19.0
512,Tunja,3,13.9
513,Montería,1,13.3
514,Montería,3,8.9
515,Valledupar,5,19.8
516,Bucaramanga,3,10.7
517,Tunja,4,23.6
518,Ipiales,5,20.8
519,Sincelejo,5,10.9
520,Armenia,2,15.8
521,Sincelejo,5,17.4
522,Riohacha,5,12.8
523,Cartagena,5,20.9
524,Valledupar,3,16.0
525,Bogotá,4,15.7
526,Armenia,5,20.9
527,Santa Marta,1,12.3
528,Medellín,1,21.2
529,Cali,4,23.3
530,Barranquilla,1,9.6
531,Valledupar,4,15.5
532,Armenia,5,24.4
533,Bucaramanga,5,16.9
534,Neiva,5,11.0
535,Pasto,4,19.2
536,Montería,5,18.7
537,Montería,4,24.5
538,Montería,4,24.3
539,Riohacha,2,20.7
540,Barranquilla,3,18.1
541,Bucaramanga,4,8.0
542,Popayán,4,17.3
543,Manizales,5,17.7
544,Villavicencio,2,20.7
545,Bucaramanga,5,17.0
546,Sincelejo,3,5.3
547,Bogotá,5,18.6
548,Ipiales,5,9.3
549,Bucaramanga,4,16.1
550,Montería,5,10.6
551,Pasto,4,17.1
552,Cartagena,5,10.0
553,Cartagena,3,20.9
554,Cartagena,2,20.0
555,Villavicencio,2,15.5
556,Cali,1,17.7
557,Cartagena,4,13.5
558,Riohacha,2,9.5
559,Pereira,5,22.9
560,Santa Marta,2,22.9
561,Villavicencio,2,21.1
562,Ipiales,4,11.3
563,Montería,2,21.3
564,Bucaramanga,5,10.6
565,Armenia,1,7.0
566,Santa Marta,2,23.0
567,Bogotá,4,15.7
568,Bogotá,5,17.6
569,Valledupar,2,4.6
570,Villavicencio,4,24.7
571,Sincelejo,3,4.5
572,Popayán,5,12.5
573,Armenia,2,15.8
574,Sincelejo,4,15.5
575,Bogotá,3,5.3
576,Ipiales,2,18.0
577,Bogotá,4,15.0
578,Bogotá,5,22.3
579,Sincelejo,5,22.8
580,Ipiales,5,5.7
581,Cartagena,4,11.9
582,Bucaramanga,2,13.5
583,Villavicencio,2,20.1
584,Riohacha,5,7.8
585,Manizales,5,18.7
586,Bucaramanga,4,12.4
587,Sincelejo,5,12.8
588,Riohacha,4,14.2
589,Armenia,3,22.5
590,Ipiales,4,20.3
591,Santa Marta,2,10.2
592,Bucaramanga,3,6.3
593,Pereira,5,16.8
594,Cali,2,22.1
595,Cali,5,11.3
596,Villavicencio,1,7.7
597,Barranquilla,4,6.7
598,Neiva,3,22.3
599,Sincelejo,2,20.0
600,Popayán,1,20.5
601,Villavicencio,3,19.7
602,Popayán,3,8.4
603,Manizales,4,8.2
604,Popayán,2,21.3
605,Armenia,4,15.4
606,Manizales,5,11.6
607,Tunja,3,14.4
608,Cali,5,6.9
609,Ipiales,2,7.6
610,Sincelejo,2,12.0
611,Tunja,2,23.7
612,Cali,4,9.3
613,Bucaramanga,3,16.8
614,Sincelejo,5,11.3
615,Cartagena,4,10.0
616,Santa Marta,2,16.9
617,Bogotá,5,18.3
618,Villavicencio,3,17.0
619,Cartagena,1,14.6
620,Ipiales,5,6.8
621,Tunja,4,7.0
622,Cartagena,2,18.6
623,Villavicencio,3,8.6
624,Medellín,5,23.9
625,Santa Marta,1,7.4
626,Neiva,3,10.3
627,Neiva,4,14.1
628,Riohacha,5,19.7
629,Montería,4,14.8
630,Cartagena,3,7.8
631,Neiva,5,8.3
632,Santa Marta,3,13.0
633,Pasto,5,10.1
634,Neiva,2,24.9
635,Valledupar,5,7.3
636,Tunja,1,6.9
637,Cartagena,1,14.0
638,Armenia,3,12.7
639,Montería,3,5.7
640,Sincelejo,1,14.7
641,Sincelejo,5,19.4
642,Montería,5,15.2
643,Bucaramanga,2,18.9
644,Ipiales,3,13.9
645,Sincelejo,3,23.8
646,Barranquilla,5,6.3
647,Sincelejo,4,6.2
648,Cartagena,1,10.5
649,Bogotá,4,15.1
650,Montería,4,19.4
651,Armenia,2,22.2
652,Santa Marta,5,10.5
653,Bogotá,5,5.4
654,Santa Marta,2,22.9
655,Villavicencio,3,5.9
656,Montería,5,14.4
657,Riohacha,5,16.0
658,Montería,1,24.7
659,Bucaramanga,3,17.4
660,Manizales,4,24.3
661,Pasto,5,15.6
662,Riohacha,3,10.9
663,Montería,3,15.0
664,Riohacha,4,24.0
665,Neiva,2,18.1
666,Sincelejo,2,11.2
667,Santa Marta,2,5.5
668,Tunja,3,17.0
669,Pereira,3,12.2
670,Santa Marta,4,13.2
671,Sincelejo,5,17.5
672,Bogotá,5,11.7
673,Montería,2,20.6
674,Bucaramanga,4,23.7
675,Armenia,1,5.2
676,Medellín,1,16.8
677,Pasto,4,16.8
678,Neiva,1,18.5
679,Tunja,1,10.6
680,Santa Marta,2,8.0
681,Sincelejo,5,8.8
682,Popayán,1,4.9
683,Cartagena,2,22.9
684,Neiva,4,16.9
685,Villavicencio,4,18.5
686,Barranquilla,1,19.9
687,Villavicencio,2,22.9
688,Cartagena,4,9.9
689,Tunja,2,5.8
690,Tunja,3,9.1
691,Barranquilla,5,18.5
692,Riohacha,5,19.1
693,Tunja,4,16.2
694,Neiva,2,9.3
695,Medellín,5,8.4
696,Cali,1,14.1
697,Bogotá,4,7.5
698,Cali,1,9.9
699,Montería,4,22.2
700,Riohacha,3,19.5
701,Barranquilla,4,21.8
702,Popayán,3,22.9
703,Villavicencio,5,18.7
704,Barranquilla,4,12.7
705,Popayán,2,16.5
706,Pasto,3,14.3
707,Sincelejo,1,7.8
708,Tunja,4,24.0
709,Sincelejo,4,13.1
710,Neiva,4,7.3
711,Montería,5,5.5
712,Bogotá,5,13.4
713,Manizales,4,9.9
714,Sincelejo,3,9.7
715,Bogotá,4,13.3
716,Barranquilla,1,7.5
717,Villavicencio,5,7.5
718,Cartagena,4,18.9
719,Pasto,4,9.4
720,Medellín,1,17.8
721,Cali,3,6.9
722,Santa Marta,2,19.0
723,Popayán,5,21.0
724,Cali,4,19.5
725,Barranquilla,1,16.3
726,Medellín,4,15.6
727,Bogotá,3,5.8
728,Bucaramanga,4,22.7
729,Neiva,2,22.4
730,Sincelejo,2,7.9
731,Santa Marta,2,15.8
732,Tunja,5,5.5
733,Armenia,5,16.5
734,Valledupar,2,24.6
735,Ipiales,5,6.8
736,Santa Marta,3,21.8
737,Valledupar,2,16.2
738,Bogotá,1,19.3
739,Armenia,1,18.6
740,Bogotá,4,19.4
741,Santa Marta,5,13.9
742,Armenia,1,11.8
743,Cali,4,18.3
744,Medellín,3,14.9
745,Cartagena,3,13.6
746,Ipiales,1,24.6
747,Cartagena,3,14.2
748,Valledupar,4,14.8
749,Manizales,4,5.8
750,Pereira,5,7.7
751,Cali,2,23.7
752,Bogotá,3,8.8
753,Popayán,3,8.4
754,Cali,1,11.5
755,Santa Marta,1,20.1
756,Armenia,4,15.0
757,Ipiales,4,18.1
758,Montería,4,11.6
759,Popayán,1,18.7
760,Neiva,2,21.6
761,Cali,4,17.9
762,Tunja,2,16.4
763,Villavicencio,3,7.7
764,Armenia,4,7.3
765,Neiva,2,14.4
766,Barranquilla,3,11.4
767,Sincelejo,2,9.4
768,Cali,5,6.1
769,Bogotá,1,18.9
770,Santa Marta,2,15.3
771,Medellín,5,8.8
772,Barranquilla,3,6.8
773,Ipiales,3,24.8
774,Valledupar,3,7.8
775,Cali,4,16.9
776,Villavicencio,2,5.8
777,Bucaramanga,5,12.1
778,Villavicencio,1,22.7
779,Barranquilla,4,16.1
780,Barranquilla,4,16.2
781,Sincelejo,2,18.2
782,Ipiales,3,6.3
783,Riohacha,1,16.7
784,Pasto,1,7.2
785,Cartagena,5,10.2
786,Bucaramanga,1,6.3
787,Bucaramanga,4,8.1
788,Armenia,2,10.8
789,Ipiales,2,8.9
790,Villavicencio,1,6.7
791,Pasto,4,8.3
792,Sincelejo,5,16.0
793,Medellín,3,20.0
794,Sincelejo,2,8.8
795,Santa Marta,4,21.4
796,Armenia,5,14.2
797,Neiva,4,4.8
798,Manizales,5,12.8
799,Manizales,2,17.9
800,Pasto,3,18.6
801,Riohacha,1,7.8
802,Manizales,2,18.0
803,Tunja,2,24.0
804,Tunja,4,24.7
805,Santa Marta,3,7.0
806,Neiva,2,17.7
807,Cartagena,2,18.3
808,Medellín,3,10.3
809,Santa Marta,4,19.1
810,Montería,2,13.8
811,Santa Marta,3,5.1
812,Santa Marta,4,13.7
813,Valledupar,2,15.6
814,Popayán,2,17.8
815,Pereira,4,8.2
816,Manizales,4,11.0
817,Santa Marta,5,10.0
818,Pereira,2,5.2
819,Santa Marta,3,21.3
820,Armenia,1,12.1
821,Popayán,1,14.2
822,Armenia,2,23.4
823,Bucaramanga,4,12.5
824,Pasto,3,9.3
825,Sincelejo,3,21.3
826,Santa Marta,3,18.8
827,Tunja,5,15.5
828,Tunja,4,4.8
829,Valledupar,2,16.0
830,Cartagena,5,8.1
831,Pasto,4,16.0
832,Popayán,1,6.7
833,Barranquilla,3,21.3
834,Montería,4,5.1
835,Tunja,4,21.8
836,Manizales,1,23.7
837,Montería,3,9.6
838,Medellín,5,14.1
839,Montería,4,16.2
840,Valledupar,4,9.8
841,Tunja,3,21.2
842,Popayán,1,4.6
843,Valledupar,2,13.0
844,Villavicencio,4,8.0
845,Riohacha,1,6.5
846,Montería,4,20.5
847,Santa Marta,3,9.8
848,Tunja,3,7.1
849,Valledupar,5,23.4
850,Cali,1,19.7
851,Villavicencio,1,20.2
852,Bucaramanga,1,9.6
853,Pereira,2,21.0
854,Tunja,3,10.0
855,Valledupar,3,9.1
856,Bucaramanga,4,6.9
857,Pereira,3,4.9
858,Medellín,4,16.8
859,Armenia,5,17.2
860,Manizales,1,12.0
861,Neiva,1,7.0
862,Sincelejo,5,12.0
863,Ipiales,5,18.6
864,Manizales,1,13.2
865,Ipiales,3,6.6
866,Tunja,3,11.0
867,Villavicencio,3,17.6
868,Bucaramanga,5,24.7
869,Popayán,1,23.3
870,Bogotá,3,9.1
871,Riohacha,3,19.6
872,Montería,4,13.7
873,Montería,3,22.6
874,Cali,4,9.6
875,Tunja,2,7.4
876,Neiva,5,19.7
877,Manizales,1,11.3
878,Barranquilla,1,10.5
879,Pasto,3,12.4
880,Bogotá,1,13.1
881,Montería,2,5.4
882,Pasto,3,9.9
883,Cali,4,5.5
884,Montería,5,7.8
885,Medellín,5,11.9
886,Sincelejo,4,19.9
887,Riohacha,3,19.9
888,Bucaramanga,4,14.1
889,Armenia,2,20.9
890,Cartagena,3,21.9
891,Medellín,2,19.9
892,Armenia,4,17.1
893,Medellín,1,16.1
894,Riohacha,2,8.0
895,Valledupar,5,23.3
896,Armenia,5,5.2
897,Tunja,2,7.2
898,Valledupar,4,9.9
899,Medellín,4,6.9
900,Ipiales,5,15.5
901,Cartagena,2,8.1
902,Tunja,4,12.9
903,Santa Marta,4,5.2
904,Villavicencio,5,21.3
905,Riohacha,5,5.2
906,Pereira,3,18.8
907,Neiva,2,13.6
908,Riohacha,3,8.2
909,Pereira,4,21.9
910,Valledupar,2,23.6
911,Manizales,4,6.7
912,Cali,5,15.6
913,Medellín,4,6.9
914,Popayán,1,21.9
915,Montería,1,24.7
916,Riohacha,1,6.8
917,Pasto,1,7.2
918,Montería,1,22.9
919,Armenia,1,6.7
920,Pasto,3,17.3
921,Villavicencio,2,7.2
922,Tunja,1,17.8
923,Santa Marta,2,8.0
924,Riohacha,2,6.1
925,Riohacha,5,16.0
926,Bucaramanga,5,8.8
927,Cali,3,22.3
928,Popayán,3,16.7
929,Valledupar,3,11.3
930,Bucaramanga,1,6.9
931,Tunja,1,10.6
932,Cali,3,12.0
933,Sincelejo,2,8.0
934,Barranquilla,4,6.2
935,Ipiales,1,21.0
936,Valledupar,4,8.9
937,Montería,3,21.9
938,Pasto,3,10.3
939,Valledupar,5,5.2
940,Sincelejo,5,18.9
941,Villavicencio,5,22.2
942,Valledupar,1,17.5
943,Pereira,3,14.7
944,Armenia,1,22.4
945,Santa Marta,3,17.4
946,Ipiales,1,24.6
947,Popayán,4,16.9
948,Valledupar,4,6.9
949,Valledupar,3,11.5
950,Bogotá,3,6.2
951,Montería,5,9.2
952,Armenia,2,17.7
953,Tunja,5,13.4
954,Pereira,2,7.1
955,Pasto,5,21.4
956,Montería,1,16.5
957,Sincelejo,2,6.4
958,Medellín,2,19.7
959,Bucaramanga,4,18.8
960,Neiva,2,7.3
961,Montería,1,24.1
962,Armenia,2,5.1
963,Manizales,2,21.8
964,Villavicencio,1,22.2
965,Santa Marta,2,18.6
966,Medellín,2,11.2
967,Bogotá,1,22.7
968,Santa Marta,3,8.4
969,Tunja,4,22.2
970,Popayán,2,18.6
971,Riohacha,3,7.9
972,Medellín,2,8.7
973,Pasto,2,17.1
974,Pereira,2,13.0
975,Bucaramanga,3,12.6
976,Armenia,3,18.5
977,Popayán,4,23.3
978,Cartagena,4,10.8
979,Medellín,1,11.5
980,Riohacha,3,12.9
981,Cali,5,22.5
982,Cartagena,3,19.3
983,Sincelejo,3,9.7
984,Santa Marta,4,8.3
985,Villavicencio,2,12.6
986,Tunja,5,22.3
987,Santa Marta,2,12.4
988,Manizales,4,21.8
989,Neiva,3,10.0
990,Cartagena,5,5.9
991,Villavicencio,2,8.0
992,Barranquilla,3,6.5
993,Ipiales,5,18.6
994,Montería,5,15.2
995,Popayán,3,23.4
996,Bogotá,4,9.4
997,Villavicencio,3,20.0
998,Tunja,5,23.9
999,Pasto,4,13.7
1000,Tunja,3,23.3
1001,Pasto,1,20.3
1002,Pereira,2,15.3
1003,Valledupar,2,9.2
1004,Santa Marta,2,5.1
1005,Santa Marta,4,10.5
1006,Ipiales,3,15.2
1007,Neiva,1,4.5
1008,Bogotá,5,22.4
1009,Bucaramanga,5,13.7
1010,Villavicencio,1,4.9
1011,Ipiales,1,19.5
1012,Tunja,4,5.7
1013,Pereira,5,18.6
1014,Bucaramanga,4,18.3
1015,Neiva,4,13.7
1016,Pereira,2,9.7
1017,Manizales,5,7.5
