id,destino,prioridad,peso
257,Cúcuta,4,7.8
258,Villavicencio,4,19.4
259,Cartagena,2,17.1
260,Villavicencio,5,12.8
261,Manizales,5,23.1
262,Quibdó,3,22.7
263,Manizales,4,7.8
264,Montería,1,11.2
265,Santa Marta,1,6.2
266,Pasto,2,16.0
267,Montería,3,15.4
268,Florencia,3,13.8
269,Popayán,1,5.6
270,Cartagena,1,8.7
271,Medellín,2,15.3
272,Villavicencio,4,17.3
273,Riohacha,4,24.5
274,Bogotá,5,9.8
275,Sincelejo,4,15.4
276,Cartagena,2,20.4
277,Quibdó,2,20.5
278,Quibdó,4,12.3
279,Cartagena,2,13.7
280,Montería,2,10.7
281,Montería,2,23.9
282,Valledupar,5,12.1
283,Montería,3,5.4
284,Valledupar,4,6.3
285,Sincelejo,3,20.9
286,Cúcuta,3,4.7
287,Neiva,5,14.6
288,Villavicencio,2,5.7
289,Pasto,2,18.8
290,Montería,5,22.6
291,Pereira,1,13.8
292,Sincelejo,1,13.2
293,Tunja,5,13.2
294,Cartagena,5,14.5
295,Neiva,1,12.0
296,Valledupar,5,13.9
297,Valledupar,2,12.8
298,Popayán,5,6.2
299,Ipiales,2,22.1
300,Sincelejo,3,11.4
301,Montería,1,9.2
302,Barranquilla,2,5.3
303,Ipiales,5,21.3
304,Pereira,5,21.5
305,Cali,5,21.7
306,Tunja,1,18.1
307,Santa Marta,4,21.7
308,Tunja,1,16.6
309,Medellín,1,14.6
310,Riohacha,3,10.3
311,Armenia,3,15.3
312,Riohacha,4,12.6
313,Pasto,4,13.7
314,Sincelejo,4,5.7
315,Santa Marta,4,19.6
316,Riohacha,2,23.9
317,Florencia,3,8.6
318,Cali,4,16.2
319,Cúcuta,1,15.2
320,Bucaramanga,3,15.6
321,Mitú,1,12.9
322,Sincelejo,2,18.5
323,Valledupar,5,17.6
324,Barranquilla,5,16.7
325,Sincelejo,3,18.0
326,Cali,2,22.7
327,Armenia,4,21.9
328,Pasto,3,11.0
329,Tunja,1,10.3
330,Barranquilla,2,6.3
331,Sincelejo,5,19.4
332,Barranquilla,2,14.5
333,Pereira,4,15.0
334,Quibdó,5,7.7
335,Florencia,1,16.7
336,Neiva,2,5.9
337,Cartagena,2,14.4
338,Armenia,2,18.1
339,Cúcuta,2,8.5
340,Medellín,3,15.6
341,Armenia,4,9.0
342,Sincelejo,5,8.0
343,Santa Marta,5,21.8
344,Santa Marta,5,18.6
345,Medellín,1,9.7
346,Sincelejo,5,7.8
347,Riohacha,3,18.3
348,Manizales,1,6.9
349,Villavicencio,4,23.9
350,Manizales,3,4.5
351,Cali,3,18.8
352,Cartagena,3,24.2
353,Cali,3,16.6
354,Pasto,4,13.5
355,Manizales,3,21.0
356,Florencia,5,7.9
357,Sincelejo,1,23.8
358,Montería,2,23.9
359,Florencia,1,12.5
360,Villavicencio,4,21.3
361,Ipiales,4,6.8
362,Santa Marta,1,12.8
363,Barranquilla,5,24.7
364,Bogotá,2,4.8
365,Villavicencio,1,14.5
366,Bucaramanga,2,10.3
367,Santa Marta,2,15.4
368,Armenia,5,14.4
369,Pereira,2,7.4
370,Sincelejo,3,21.0
371,Villavicencio,5,8.1
372,Cúcuta,1,10.1
373,Bucaramanga,1,19.0
374,Montería,1,9.8
375,Quibdó,2,24.8
376,Pereira,3,10.3
377,Tunja,2,18.4
378,Neiva,3,18.0
379,Pasto,1,6.7
380,Pasto,5,5.5
381,Florencia,1,8.3
382,Riohacha,1,9.9
383,Pereira,3,12.6
384,Montería,4,12.4
385,Cartagena,5,11.1
386,Cartagena,5,10.2
387,Ibagué,3,9.3
388,Valledupar,4,4.9
389,Bucaramanga,2,14.9
390,Cartagena,3,23.2
391,Cali,4,16.1
392,Villavicencio,5,5.3
393,Bucaramanga,4,22.7
394,Popayán,5,10.2
395,Pereira,2,16.1
396,Pereira,4,5.0
397,Popayán,5,13.5
398,Santa Marta,1,23.4
399,Mitú,2,8.8
400,Armenia,5,20.8
401,Neiva,3,6.0
402,Pereira,1,15.7
403,Quibdó,1,6.7
404,Manizales,3,24.8
405,Santa Marta,1,12.3
406,Bucaramanga,2,12.8
407,Bogotá,1,20.5
408,Cúcuta,1,24.3
409,Quibdó,2,22.3
410,Armenia,4,11.6
411,Cali,2,20.1
412,Bucaramanga,3,11.7
413,Montería,5,7.3
414,Tunja,4,23.0
415,Mitú,5,6.8
416,Bucaramanga,3,8.7
417,Neiva,1,14.7
418,Quibdó,3,8.7
419,Cúcuta,5,24.4
420,Popayán,3,19.3
421,Riohacha,3,13.5
422,Bucaramanga,1,14.9
423,Montería,5,22.5
424,Manizales,1,18.8
425,Popayán,1,5.8
426,Ipiales,3,24.7
427,Cartagena,5,10.4
428,Pasto,2,5.9
429,Montería,3,15.3
430,Barranquilla,4,7.3
431,Ibagué,2,16.6
432,Bucaramanga,3,10.9
433,Manizales,3,14.8
434,Quibdó,4,18.4
435,Ipiales,5,22.0
436,Medellín,2,11.6
437,Pereira,2,12.3
438,Riohacha,5,20.6
439,Medellín,5,17.3
440,Sincelejo,1,16.6
441,Armenia,4,20.5
442,Florencia,4,14.0
443,Popayán,3,11.4
444,Tunja,1,21.5
445,Armenia,5,15.1
446,Popayán,4,6.1
447,Tunja,2,24.7
448,Bucaramanga,5,7.9
449,Riohacha,2,5.8
450,Bogotá,5,12.7
451,Villavicencio,3,8.9
452,Medellín,5,18.6
453,Montería,2,10.3
454,Cartagena,1,10.3
455,Pereira,2,16.7
456,Medellín,5,18.8
457,Ibagué,1,5.1
458,Pereira,1,22.7
459,Bucaramanga,5,17.4
460,Armenia,3,23.9
461,Villavicencio,1,15.5
462,Valledupar,2,23.3
463,Ipiales,1,13.0
464,Pereira,2,18.8
465,Medellín,1,18.2
466,Bogotá,1,14.4
467,Sincelejo,3,7.7
468,Medellín,5,17.6
469,Cali,5,13.1
470,Ipiales,3,24.5
471,Ibagué,2,14.5
472,Montería,1,23.9
473,Santa Marta,4,18.9
474,Manizales,3,20.6
475,Tunja,3,21.2
476,Cartagena,2,23.9
477,Armenia,1,20.8
478,Pereira,3,24.5
479,Cali,5,24.1
480,Manizales,5,6.5
481,Manizales,2,21.9
482,Neiva,4,24.7
483,Mitú,2,7.5
484,Cúcuta,2,20.2
485,Sincelejo,1,17.6
486,Pasto,4,6.8
487,Santa Marta,1,24.3
488,Florencia,1,17.3
489,Florencia,2,24.4
490,Manizales,2,7.6
491,Ibagué,4,19.0
492,Bucaramanga,3,22.9
493,Armenia,4,19.7
494,Armenia,4,24.2
495,Pereira,4,15.9
496,Bucaramanga,1,5.1
497,Barranquilla,1,4.6
498,Medellín,2,23.9
499,Cali,4,12.1
500,Barranquilla,5,13.6
501,Medellín,3,12.5
502,Bucaramanga,3,17.1
503,Tunja,2,7.0
504,Bucaramanga,3,5.2
505,Valledupar,4,13.5
506,Bucaramanga,5,9.8
507,Mitú,3,18.5
508,Bucaramanga,5,10.1
509,Barranquilla,5,11.0
510,Cali,5,13.1
511,Cartagena,3,22.6
512,Neiva,2,23.7
513,Ibagué,2,10.5
514,Medellín,3,8.2
515,Bucaramanga,5,20.4
516,Cúcuta,4,15.4
517,Valledupar,1,13.7
518,Armenia,1,19.5
519,Popayán,2,6.7
520,Riohacha,5,8.0
521,Bucaramanga,3,22.9
522,Pereira,1,20.4
523,Cartagena,3,17.3
524,Cartagena,5,24.4
525,Ibagué,5,19.8
526,Santa Marta,5,11.9
527,Pasto,3,7.8
528,Sincelejo,1,14.4
529,Ipiales,3,5.2
530,Mitú,2,9.6
531,Armenia,4,18.6
532,Quibdó,1,18.3
533,Mitú,2,11.3
534,Sincelejo,5,22.0
535,Santa Marta,3,17.8
536,Cartagena,3,8.0
537,Pasto,3,5.9
538,Tunja,5,10.1
539,Cali,2,10.4
540,Tunja,3,8.4
541,Tunja,3,13.9
542,Bogotá,4,20.9
543,Santa Marta,1,16.2
544,Armenia,5,23.2
545,Tunja,1,16.8
546,Riohacha,1,24.6
547,Montería,5,5.7
548,Tunja,3,13.5
549,Santa Marta,3,17.7
550,Pasto,1,14.2
551,Villavicencio,4,10.7
552,Manizales,3,22.8
553,Neiva,5,12.7
554,Neiva,1,21.3
555,Armenia,5,13.3
556,Villavicencio,1,24.5
557,Santa Marta,1,6.9
558,Bogotá,2,20.8
559,Valledupar,5,24.6
560,Neiva,3,16.6
561,Mitú,3,15.3
562,Popayán,5,18.0
563,Barranquilla,4,20.6
564,Tunja,4,5.7
565,Cali,3,11.8
566,Manizales,4,18.9
567,Medellín,1,8.8
568,Florencia,3,22.2
569,Riohacha,1,21.8
570,Popayán,1,13.4
571,Manizales,5,10.6
572,Riohacha,4,13.1
573,Pereira,5,14.2
574,Florencia,3,12.7
575,Tunja,5,19.9
576,Tunja,3,7.6
577,Barranquilla,1,24.4
578,Pasto,3,20.6
579,Medellín,4,11.0
580,Montería,1,14.0
581,Cartagena,4,21.7
582,Montería,4,5.4
583,Popayán,2,19.3
584,Cúcuta,2,23.4
585,Barranquilla,5,11.9
586,Pereira,3,24.1
587,Quibdó,2,6.2
588,Cali,2,9.1
589,Valledupar,3,16.6
590,Ibagué,3,10.2
591,Neiva,4,16.0
592,Bucaramanga,3,7.9
593,Neiva,3,16.1
594,Barranquilla,4,21.6
595,Barranquilla,1,11.2
596,Bucaramanga,5,18.5
597,Bucaramanga,1,19.3
598,Bogotá,3,9.2
599,Tunja,5,16.0
600,Bucaramanga,4,6.1
601,Quibdó,4,12.4
602,Neiva,1,8.5
603,Quibdó,3,8.6
604,Villavicencio,4,16.7
605,Cartagena,4,19.2
606,Villavicencio,5,6.2
607,Cartagena,4,10.9
608,Cartagena,5,12.5
609,Bogotá,2,22.0
610,Cúcuta,5,11.2
611,Sincelejo,3,11.1
612,Neiva,2,16.6
613,Riohacha,4,5.5
614,Neiva,3,9.7
615,Tunja,4,11.1
616,Neiva,1,10.2
617,Montería,2,17.1
618,Florencia,1,14.7
619,Cúcuta,4,10.9
620,Valledupar,4,21.6
621,Cartagena,2,16.1
622,Barranquilla,1,11.8
623,Ibagué,3,13.4
624,Quibdó,4,10.2
625,Santa Marta,4,16.1
626,Cúcuta,5,21.3
627,Neiva,1,24.5
628,Mitú,1,15.6
629,Riohacha,1,9.9
630,Cali,3,17.7
631,Bucaramanga,2,6.1
632,Valledupar,1,13.1
633,Mitú,1,22.2
634,Tunja,4,17.6
635,Cúcuta,1,13.5
636,Florencia,5,22.6
637,Bucaramanga,5,4.8
638,Montería,1,21.8
639,Pasto,4,24.6
640,Popayán,2,5.8
641,Armenia,4,23.3
642,Bogotá,4,12.2
643,Bucaramanga,2,23.6
644,Mitú,3,12.2
645,Cartagena,1,9.8
646,Pasto,1,4.7
647,Pasto,3,24.2
648,Armenia,1,8.9
649,Pasto,1,20.8
650,Manizales,4,21.1
651,Bucaramanga,1,21.7
652,Riohacha,1,21.6
653,Valledupar,1,24.4
654,Ibagué,2,16.1
655,Tunja,4,15.7
656,Santa Marta,1,14.7
657,Sincelejo,4,19.8
658,Sincelejo,1,23.1
659,Neiva,5,14.0
660,Manizales,3,9.3
661,Quibdó,4,9.6
662,Manizales,4,15.2
663,Bucaramanga,1,6.3
664,Neiva,3,6.5
665,Neiva,1,23.5
666,Medellín,1,6.0
667,Popayán,5,9.4
668,Barranquilla,3,7.6
669,Florencia,3,6.4
670,Popayán,3,24.2
671,Riohacha,1,15.0
672,Bogotá,2,4.5
673,Quibdó,2,5.8
674,Cali,5,10.0
675,Popayán,4,11.8
676,Tunja,5,6.0
677,Armenia,5,24.4
678,Bogotá,1,13.9
679,Popayán,3,21.5
680,Santa Marta,1,22.0
681,Cúcuta,3,18.4
682,Santa Marta,1,4.8
683,Ipiales,1,4.6
684,Sincelejo,4,7.1
685,Manizales,2,8.9
686,Riohacha,5,19.5
687,Bogotá,1,6.3
688,Medellín,1,14.0
689,Manizales,1,5.1
690,Montería,2,7.6
691,Armenia,5,11.0
692,Tunja,1,13.5
693,Santa Marta,1,8.0
694,Bucaramanga,3,20.4
695,Valledupar,5,21.7
696,Popayán,4,14.4
697,Florencia,1,14.5
698,Manizales,3,21.1
699,Mitú,5,9.0
700,Popayán,1,15.9
701,Cali,1,13.4
702,Montería,3,6.5
703,Manizales,1,9.0
704,Quibdó,3,22.6
705,Riohacha,5,14.0
706,Villavicencio,2,15.3
707,Armenia,4,9.8
708,Mitú,3,9.3
709,Bucaramanga,1,4.7
710,Pereira,3,11.9
711,Cúcuta,4,9.2
712,Santa Marta,1,18.6
713,Barranquilla,3,4.7
714,Pasto,4,13.5
715,Riohacha,3,18.3
716,Bucaramanga,1,14.0
717,Manizales,3,21.7
718,Medellín,3,17.0
719,Sincelejo,1,7.9
720,Barranquilla,2,16.0
721,Sincelejo,5,17.2
722,Valledupar,3,19.0
723,Sincelejo,5,14.6
724,Tunja,5,23.0
725,Medellín,5,13.1
726,Valledupar,5,19.6
727,Barranquilla,2,12.4
728,Riohacha,5,8.4
729,Valledupar,4,8.2
730,Medellín,3,14.6
731,Bucaramanga,1,16.4
732,Neiva,4,16.0
733,Sincelejo,2,5.9
734,Riohacha,4,23.6
735,Ipiales,1,12.3
736,Pereira,2,18.0
737,Mitú,5,23.3
738,Mitú,4,4.8
739,Barranquilla,2,7.2
740,Manizales,1,13.6
741,Ipiales,4,6.3
742,Cúcuta,3,20.1
743,Bogotá,3,10.0
744,Quibdó,3,16.2
745,Barranquilla,2,7.6
746,Popayán,2,20.7
747,Sincelejo,5,6.7
748,Armenia,1,10.5
749,Valledupar,3,5.7
750,Popayán,1,6.4
751,Barranquilla,1,8.8
752,Quibdó,5,5.4
753,Pereira,4,18.8
754,Cúcuta,5,9.8
755,Barranquilla,1,14.8
756,Popayán,3,6.1
757,Armenia,3,9.3
758,Medellín,1,8.8
759,Tunja,2,10.8
760,Tunja,1,19.4
761,Valledupar,5,19.1
762,Santa Marta,3,24.5
763,Popayán,1,8.7
764,Mitú,4,19.6
765,Medellín,2,12.6
766,Ipiales,4,9.4
767,Pereira,2,18.0
768,Ipiales,1,15.1
769,Bogotá,4,20.5
770,Bogotá,1,20.8
771,Neiva,5,15.6
772,Medellín,2,6.8
773,Villavicencio,4,22.6
774,Riohacha,5,5.2
775,Quibdó,1,21.1
776,Manizales,1,9.8
777,Bucaramanga,5,13.1
778,Bogotá,5,5.8
779,Riohacha,2,16.5
780,Pereira,5,18.0
781,Barranquilla,1,5.1
782,Florencia,2,16.8
783,Tunja,4,22.8
784,Neiva,4,12.0
785,Armenia,1,11.8
786,Barranquilla,2,22.2
787,Cali,4,12.9
788,Montería,1,14.5
789,Ipiales,1,14.3
790,Sincelejo,1,20.9
791,Cali,2,14.1
792,Montería,4,5.8
793,Sincelejo,5,23.6
794,Ipiales,1,13.8
795,Tunja,5,14.0
796,Pereira,1,17.6
797,Sincelejo,2,16.4
798,Montería,5,4.9
799,Barranquilla,5,12.8
800,Bucaramanga,2,14.7
801,Manizales,1,7.4
802,Riohacha,3,22.0
803,Pasto,4,10.4
804,Neiva,3,14.2
805,Bucaramanga,2,22.2
806,Medellín,3,13.8
807,Neiva,1,17.3
808,Cali,4,6.0
809,Bucaramanga,2,22.3
810,Villavicencio,4,14.7
811,Tunja,2,10.8
812,Montería,1,6.9
813,Pereira,2,14.3
814,Cartagena,4,14.3
815,Sincelejo,5,12.9
816,Santa Marta,4,4.7
817,Armenia,4,7.9
818,Cartagena,5,10.7
819,Villavicencio,1,16.8
820,Quibdó,5,5.0
821,Mitú,1,13.7
822,Tunja,3,24.9
823,Mitú,5,6.3
824,Villavicencio,3,24.5
825,Florencia,1,22.2
826,Popayán,2,11.1
827,Sincelejo,3,15.7
828,Bucaramanga,2,11.8
829,Florencia,4,15.3
830,Florencia,1,23.9
831,Neiva,3,16.1
832,Riohacha,2,8.3
833,Quibdó,3,19.9
834,Ibagué,4,13.1
835,Riohacha,3,23.2
836,Pasto,2,21.4
837,Sincelejo,4,10.1
838,Medellín,1,10.4
839,Bucaramanga,3,24.3
840,Santa Marta,1,10.1
841,Neiva,3,15.0
842,Barranquilla,3,13.1
843,Pereira,5,23.9
844,Valledupar,2,23.6
845,Manizales,3,17.1
846,Ipiales,5,7.8
847,Medellín,5,20.5
848,Florencia,1,24.6
849,Cartagena,4,18.7
850,Tunja,4,17.0
851,Sincelejo,5,14.0
852,Manizales,5,6.5
853,Ipiales,2,7.3
854,Bucaramanga,4,7.5
855,Medellín,3,19.6
856,Riohacha,5,6.3
857,Montería,3,9.9
858,Ibagué,2,11.7
859,Bucaramanga,3,14.5
860,Pereira,2,23.1
861,Sincelejo,1,18.8
862,Montería,4,12.2
863,Cartagena,1,10.1
864,Florencia,3,11.9
865,Bucaramanga,4,15.1
866,Medellín,2,24.7
867,Villavicencio,2,8.3
868,Popayán,4,8.8
869,Manizales,3,6.6
870,Cartagena,4,10.1
871,Barranquilla,4,8.3
872,Santa Marta,1,14.4
873,Pasto,5,17.9
874,Armenia,5,7.2
875,Popayán,3,13.8
876,Mitú,5,9.6
877,Ibagué,2,5.9
878,Quibdó,5,15.6
879,Santa Marta,1,11.0
880,Bucaramanga,1,24.6
881,Popayán,3,16.3
882,Manizales,1,6.2
883,Medellín,5,17.0
884,Santa Marta,4,21.5
885,Cúcuta,4,12.7
886,Pereira,2,11.7
887,Armenia,2,8.5
888,Cúcuta,4,7.9
889,Valledupar,3,11.1
890,Pasto,1,17.8
891,Santa Marta,4,16.7
892,Bucaramanga,2,7.9
893,Cartagena,5,21.6
894,Villavicencio,1,15.4
895,Bogotá,1,21.5
896,Cúcuta,3,12.0
897,Armenia,4,13.7
898,Riohacha,1,10.9
899,Cartagena,4,9.6
900,Riohacha,3,7.7
901,Manizales,2,19.4
902,Santa Marta,1,17.9
903,Pereira,1,13.4
904,Valledupar,4,9.2
905,Cúcuta,1,7.0
906,Sincelejo,1,13.2
907,Montería,2,10.6
908,Ibagué,4,6.5
909,Pereira,2,17.3
910,Tunja,5,15.5
911,Villavicencio,5,9.5
912,Ipiales,1,24.6
913,Manizales,4,13.6
914,Ipiales,1,5.4
915,Armenia,3,12.1
916,Armenia,3,8.5
917,Manizales,2,24.9
918,Pereira,1,14.1
919,Cali,2,22.0
920,Ipiales,5,6.0
921,Cúcuta,3,14.1
922,Mitú,3,18.9
923,Villavicencio,5,20.7
924,Tunja,2,7.7
925,Montería,4,18.9
926,Bogotá,3,20.7
927,Cartagena,4,6.7
928,Pasto,5,9.0
929,Manizales,1,8.5
930,Montería,2,15.6
931,Montería,5,20.8
932,Medellín,2,23.4
933,Manizales,2,6.6
934,Barranquilla,4,23.5
935,Barranquilla,4,8.5
936,Quibdó,5,6.3
937,Valledupar,5,20.1
938,Ipiales,4,23.7
939,Ibagué,2,9.9
940,Barranquilla,5,13.0
941,Ibagué,3,13.0
942,Villavicencio,2,10.7
943,Ipiales,3,11.6
944,Bogotá,3,19.3
945,Santa Marta,2,18.3
946,Villavicencio,3,21.9
947,Montería,3,18.6
948,Sincelejo,5,20.3
949,Medellín,2,21.6
950,Bogotá,2,24.2
951,Bucaramanga,1,14.2
952,Bucaramanga,5,24.2
953,Sincelejo,1,16.8
954,Cúcuta,4,13.2
955,Armenia,2,5.0
956,Quibdó,4,6.6
957,Armenia,4,17.5
958,Medellín,2,10.4
959,Quibdó,2,16.1
960,Mitú,5,21.1
961,Montería,3,21.6
962,Neiva,5,10.5
963,Medellín,2,11.9
964,Sincelejo,3,9.7
965,Florencia,3,12.5
966,Barranquilla,4,9.2
967,Cartagena,3,17.7
968,Pasto,5,10.9
969,Florencia,5,18.9
970,Tunja,1,8.2
971,Pereira,4,13.4
972,Cúcuta,4,21.4
973,Neiva,2,15.9
974,Montería,1,4.7
975,Cartagena,5,17.3
976,Ibagué,3,19.8
977,Cúcuta,1,7.4
978,Cartagena,2,24.9
979,Manizales,5,21.2
980,Cúcuta,4,13.4
981,Neiva,5,14.0
982,Bogotá,4,22.3
983,Montería,3,10.4
984,Tunja,1,18.1
985,Cali,2,7.8
986,Neiva,4,8.4
987,Valledupar,2,14.9
988,Santa Marta,3,7.3
989,Bucaramanga,5,24.7
990,Barranquilla,3,15.7
991,Florencia,2,8.3
992,Santa Marta,4,14.4
993,Mitú,5,14.6
994,Cali,4,24.4
995,Sincelejo,3,24.1
996,Cali,2,7.4
997,Sincelejo,3,21.9
998,Barranquilla,5,10.3
999,Santa Marta,5,5.2
1000,Popayán,1,13.8
1001,Santa Marta,1,23.6
1002,Medellín,3,16.4
1003,Popayán,2,5.1
1004,Pasto,2,10.9
1005,Neiva,2,22.4
1006,Neiva,5,23.8
1007,Armenia,1,6.0
1008,Cali,5,7.0
1009,Ibagué,5,22.7
1010,Pereira,5,17.3
1011,Tunja,1,23.9
1012,Villavicencio,2,20.6
1013,Bucaramanga,1,8.4
1014,Bogotá,5,16.7
