vehiculo,ruta,costo
V7,R67,380
V7,R68,327
V7,R69,260
V7,R70,292
V7,R71,260
V7,R72,275
V7,R73,315
V7,R74,554
V7,R75,260
V7,R76,504
V7,R77,398
V7,R78,351
V7,R79,369
V7,R80,491
V7,R81,396
V7,R82,297
V7,R83,366
V7,R84,260
V7,R85,508
V7,R86,338
V7,R87,492
V7,R88,359
V7,R89,453
V7,R90,389
V7,R91,507
V7,R92,558
V7,R93,540
V7,R94,351
V7,R95,325
V7,R96,335
V7,R97,302
V7,R98,549
V7,R99,548
V7,R100,452
V8,R1,335
V8,R2,580
V8,R3,477
V8,R4,474
V8,R5,440
V8,R6,381
V8,R7,328
V8,R8,431
V8,R9,558
V8,R10,381
V8,R11,530
V8,R12,466
V8,R13,377
V8,R14,352
V8,R15,373
V8,R16,424
V8,R17,356
V8,R18,376
V8,R19,320
V8,R20,407
V8,R21,522
V8,R22,508
V8,R23,260
V8,R24,328
V8,R25,466
V8,R26,469
V8,R27,260
V8,R28,514
V8,R29,580
V8,R30,414
V8,R31,260
V8,R32,336
V8,R33,300
V8,R34,295
V8,R35,320
V8,R36,388
V8,R37,301
V8,R38,357
V8,R39,371
V8,R40,444
V8,R41,260
V8,R42,260
V8,R43,364
V8,R44,483
V8,R45,283
V8,R46,312
V8,R47,260
V8,R48,562
V8,R49,511
V8,R50,434
V8,R51,534
V8,R52,563
V8,R53,403
V8,R54,508
V8,R55,507
V8,R56,523
V8,R57,386
V8,R58,514
V8,R59,361
V8,R60,546
V8,R61,410
V8,R62,427
V8,R63,580
V8,R64,353
V8,R65,379
V8,R66,556
V8,R67,367
V8,R68,496
V8,R69,450
V8,R70,511
V8,R71,295
V8,R72,283
V8,R73,411
V8,R74,520
V8,R75,341
V8,R76,566
V8,R77,316
V8,R78,383
V8,R79,373
V8,R80,580
V8,R81,477
V8,R82,469
V8,R83,343
V8,R84,378
V8,R85,505
V8,R86,524
V8,R87,321
V8,R88,313
V8,R89,369
V8,R90,388
V8,R91,441
V8,R92,335
V8,R93,476
V8,R94,383
V8,R95,527
V8,R96,387
V8,R97,260
V8,R98,450
V8,R99,462
V8,R100,276
V9,R1,538
V9,R2,387
V9,R3,359
V9,R4,284
V9,R5,375
V9,R6,539
V9,R7,399
V9,R8,291
V9,R9,524
V9,R10,524
V9,R11,571
V9,R12,507
V9,R13,260
V9,R14,574
V9,R15,329
V9,R16,402
V9,R17,507
V9,R18,530
V9,R19,580
V9,R20,558
V9,R21,470
V9,R22,299
V9,R23,422
V9,R24,298
V9,R25,514
V9,R26,308
V9,R27,376
V9,R28,311
V9,R29,529
V9,R30,564
V9,R31,345
V9,R32,580
V9,R33,344
V9,R34,400
V9,R35,315
V9,R36,364
V9,R37,533
V9,R38,276
V9,R39,547
V9,R40,445
V9,R41,262
V9,R42,313
V9,R43,409
V9,R44,482
V9,R45,460
V9,R46,479
V9,R47,335
V9,R48,279
V9,R49,488
V9,R50,342
V9,R51,324
V9,R52,395
V9,R53,293
V9,R54,482
V9,R55,358
V9,R56,408
V9,R57,456
V9,R58,526
V9,R59,406
V9,R60,554
V9,R61,325
V9,R62,307
V9,R63,447
V9,R64,531
V9,R65,413
V9,R66,492
V9,R67,369
V9,R68,498
V9,R69,418
V9,R70,444
V9,R71,432
V9,R72,425
V9,R73,413
V9,R74,356
V9,R75,522
V9,R76,359
V9,R77,546
V9,R78,510
V9,R79,449
V9,R80,540
V9,R81,485
V9,R82,397
V9,R83,508
V9,R84,551
V9,R85,433
V9,R86,453
V9,R87,533
V9,R88,510
V9,R89,295
V9,R90,290
V9,R91,444
V9,R92,483
V9,R93,417
V9,R94,311
V9,R95,465
V9,R96,396
V9,R97,553
V9,R98,307
V9,R99,534
V9,R100,309
V10,R1,443
V10,R2,383
V10,R3,329
V10,R4,384
V10,R5,449
V10,R6,260
V10,R7,559
V10,R8,454
V10,R9,489
V10,R10,472
V10,R11,297
V10,R12,556
V10,R13,352
V10,R14,403
V10,R15,371
V10,R16,401
V10,R17,494
V10,R18,435
V10,R19,490
V10,R20,396
V10,R21,351
V10,R22,532
V10,R23,490
V10,R24,544
V10,R25,313
V10,R26,463
V10,R27,270
V10,R28,260
V10,R29,576
V10,R30,426
V10,R31,498
V10,R32,312
V10,R33,525
V10,R34,290
V10,R35,273
V10,R36,315
V10,R37,403
V10,R38,580
V10,R39,556
V10,R40,411
V10,R41,490
V10,R42,340
V10,R43,362
V10,R44,322
V10,R45,523
V10,R46,294
V10,R47,523
V10,R48,377
V10,R49,260
V10,R50,580
V10,R51,414
V10,R52,343
V10,R53,399
V10,R54,563
V10,R55,435
V10,R56,562
V10,R57,470
V10,R58,497
V10,R59,276
V10,R60,434
V10,R61,472
V10,R62,386
V10,R63,417
V10,R64,454
V10,R65,402
V10,R66,511
V10,R67,311
V10,R68,432
V10,R69,418
V10,R70,333
V10,R71,573
V10,R72,422
V10,R73,474
V10,R74,485
V10,R75,304
V10,R76,265
V10,R77,394
V10,R78,438
V10,R79,452
V10,R80,277
V10,R81,349
V10,R82,528
V10,R83,260
V10,R84,429
V10,R85,348
V10,R86,353
V10,R87,479
V10,R88,511
V10,R89,426
V10,R90,345
V10,R91,294
V10,R92,360
V10,R93,501
V10,R94,566
V10,R95,323
V10,R96,288
V10,R97,337
V10,R98,430
V10,R99,404
V10,R100,481
V11,R1,551
V11,R2,347
V11,R3,345
V11,R4,290
V11,R5,481
V11,R6,559
V11,R7,362
V11,R8,359
V11,R9,463
V11,R10,311
V11,R11,282
V11,R12,330
V11,R13,419
V11,R14,355
V11,R15,391
V11,R16,285
V11,R17,380
V11,R18,422
V11,R19,475
V11,R20,527
V11,R21,484
V11,R22,266
V11,R23,273
V11,R24,304
V11,R25,416
V11,R26,538
V11,R27,377
V11,R28,361
V11,R29,304
V11,R30,403
V11,R31,485
V11,R32,279
V11,R33,383
V11,R34,477
V11,R35,536
V11,R36,428
V11,R37,404
V11,R38,464
V11,R39,539
V11,R40,437
V11,R41,385
V11,R42,369
V11,R43,484
V11,R44,412
V11,R45,543
V11,R46,303
V11,R47,450
V11,R48,328
V11,R49,329
V11,R50,364
V11,R51,514
V11,R52,306
V11,R53,509
V11,R54,333
V11,R55,284
V11,R56,359
V11,R57,292
V11,R58,580
V11,R59,323
V11,R60,526
V11,R61,419
V11,R62,580
V11,R63,443
V11,R64,420
V11,R65,488
V11,R66,415
V11,R67,580
V11,R68,580
V11,R69,262
V11,R70,431
V11,R71,260
V11,R72,398
V11,R73,262
V11,R74,392
V11,R75,506
V11,R76,365
V11,R77,260
V11,R78,370
V11,R79,375
V11,R80,324
V11,R81,402
V11,R82,538
V11,R83,560
V11,R84,519
V11,R85,447
V11,R86,469
V11,R87,265
V11,R88,446
V11,R89,317
V11,R90,352
V11,R91,301
V11,R92,298
V11,R93,536
V11,R94,552
V11,R95,496
V11,R96,503
V11,R97,275
V11,R98,403
V11,R99,451
V11,R100,527
V12,R1,390
V12,R2,436
V12,R3,466
V12,R4,325
V12,R5,417
V12,R6,501
V12,R7,435
V12,R8,306
V12,R9,309
V12,R10,354
V12,R11,510
V12,R12,457
V12,R13,393
V12,R14,403
V12,R15,493
V12,R16,527
V12,R17,386
V12,R18,414
V12,R19,320
V12,R20,436
V12,R21,474
V12,R22,373
V12,R23,345
V12,R24,436
V12,R25,516
V12,R26,347
V12,R27,341
V12,R28,504
V12,R29,537
V12,R30,410
V12,R31,300
V12,R32,343
V12,R33,260
V12,R34,426
V12,R35,313
V12,R36,561
V12,R37,339
V12,R38,390
V12,R39,528
V12,R40,315
V12,R41,468
V12,R42,515
V12,R43,422
V12,R44,580
V12,R45,514
V12,R46,386
V12,R47,342
V12,R48,365
V12,R49,536
V12,R50,294
V12,R51,464
V12,R52,345
V12,R53,403
V12,R54,549
V12,R55,508
V12,R56,279
V12,R57,578
V12,R58,402
V12,R59,414
V12,R60,502
V12,R61,507
V12,R62,260
V12,R63,545
V12,R64,547
V12,R65,411
V12,R66,533
V12,R67,308
V12,R68,472
V12,R69,312
V12,R70,456
V12,R71,387
V12,R72,345
V12,R73,262
V12,R74,288
V12,R75,452
V12,R76,454
V12,R77,276
V12,R78,421
V12,R79,362
V12,R80,535
V12,R81,426
V12,R82,503
V12,R83,436
V12,R84,369
V12,R85,276
V12,R86,329
V12,R87,445
V12,R88,532
V12,R89,260
V12,R90,470
V12,R91,322
V12,R92,455
V12,R93,369
V12,R94,553
V12,R95,397
V12,R96,557
V12,R97,279
V12,R98,315
V12,R99,268
V12,R100,505
V13,R1,394
V13,R2,374
V13,R3,332
V13,R4,570
V13,R5,510
V13,R6,423
V13,R7,548
V13,R8,260
V13,R9,565
V13,R10,516
V13,R11,431
V13,R12,466
V13,R13,474
V13,R14,413
V13,R15,397
V13,R16,568
V13,R17,397
V13,R18,359
V13,R19,479
V13,R20,580
V13,R21,380
V13,R22,580
V13,R23,539
V13,R24,382
V13,R25,502
V13,R26,419
V13,R27,363
V13,R28,347
V13,R29,357
V13,R30,461
V13,R31,580
V13,R32,357
V13,R33,375
V13,R34,367
V13,R35,504
V13,R36,420
V13,R37,276
V13,R38,278
V13,R39,416
V13,R40,439
V13,R41,458
V13,R42,302
V13,R43,432
V13,R44,296
V13,R45,351
V13,R46,349
V13,R47,475
V13,R48,457
V13,R49,353
V13,R50,473
V13,R51,400
V13,R52,462
V13,R53,260
V13,R54,422
V13,R55,260
V13,R56,452
V13,R57,508
V13,R58,528
V13,R59,512
V13,R60,280
V13,R61,346
V13,R62,449
V13,R63,580
V13,R64,314
V13,R65,498
V13,R66,348
V13,R67,378
V13,R68,524
V13,R69,296
V13,R70,409
V13,R71,410
V13,R72,397
V13,R73,457
V13,R74,377
V13,R75,298
V13,R76,260
V13,R77,537
V13,R78,407
V13,R79,291
V13,R80,374
V13,R81,347
V13,R82,543
V13,R83,532
V13,R84,456
V13,R85,374
V13,R86,425
V13,R87,411
V13,R88,580
V13,R89,391
V13,R90,446
V13,R91,268
V13,R92,266
V13,R93,491
V13,R94,519
V13,R95,379
V13,R96,580
V13,R97,549
V13,R98,473
V13,R99,448
V13,R100,431
V14,R1,521
V14,R2,525
V14,R3,482
V14,R4,428
V14,R5,414
V14,R6,563
V14,R7,356
V14,R8,425
V14,R9,360
V14,R10,433
V14,R11,368
V14,R12,545
V14,R13,486
V14,R14,569
V14,R15,407
V14,R16,480
V14,R17,514
V14,R18,540
V14,R19,408
V14,R20,341
V14,R21,296
V14,R22,554
V14,R23,460
V14,R24,426
V14,R25,343
V14,R26,362
V14,R27,554
V14,R28,345
V14,R29,260
V14,R30,260
V14,R31,378
V14,R32,299
V14,R33,508
V14,R34,351
V14,R35,260
V14,R36,278
V14,R37,403
V14,R38,571
V14,R39,518
V14,R40,534
V14,R41,323
V14,R42,423
V14,R43,286
V14,R44,470
V14,R45,327
V14,R46,465
V14,R47,415
V14,R48,355
V14,R49,453
V14,R50,269
V14,R51,363
V14,R52,422
V14,R53,324
V14,R54,580
V14,R55,455
V14,R56,456
V14,R57,306
V14,R58,379
V14,R59,359
V14,R60,513
V14,R61,517
V14,R62,260
V14,R63,568
V14,R64,260
V14,R65,528
V14,R66,524
V14,R67,338
V14,R68,364
V14,R69,555
V14,R70,285
V14,R71,566
V14,R72,260
V14,R73,500
V14,R74,449
V14,R75,455
V14,R76,409
V14,R77,509
V14,R78,389
V14,R79,580
V14,R80,570
V14,R81,260
V14,R82,328
V14,R83,298
V14,R84,576
V14,R85,266
V14,R86,383
V14,R87,513
V14,R88,521
V14,R89,443
V14,R90,305
V14,R91,538
V14,R92,314
V14,R93,314
V14,R94,357
V14,R95,410
V14,R96,320
V14,R97,302
V14,R98,293
V14,R99,322
V14,R100,493
V15,R1,479
V15,R2,424
V15,R3,439
V15,R4,304
V15,R5,351
V15,R6,503
V15,R7,505
V15,R8,580
V15,R9,411
V15,R10,399
V15,R11,534
V15,R12,303
V15,R13,382
V15,R14,518
V15,R15,304
V15,R16,470
V15,R17,452
V15,R18,547
V15,R19,260
V15,R20,487
V15,R21,535
V15,R22,580
V15,R23,426
V15,R24,367
V15,R25,543
V15,R26,390
V15,R27,335
V15,R28,431
V15,R29,477
V15,R30,461
V15,R31,419
V15,R32,260
V15,R33,269
V15,R34,525
V15,R35,314
V15,R36,483
V15,R37,523
V15,R38,353
V15,R39,383
V15,R40,283
V15,R41,298
V15,R42,388
V15,R43,441
V15,R44,304
V15,R45,580
V15,R46,403
V15,R47,568
V15,R48,367
V15,R49,462
V15,R50,547
V15,R51,432
V15,R52,567
V15,R53,389
V15,R54,487
V15,R55,580
V15,R56,462
V15,R57,477
V15,R58,504
V15,R59,452
V15,R60,536
V15,R61,562
V15,R62,280
V15,R63,260
V15,R64,302
V15,R65,576
V15,R66,429
V15,R67,557
V15,R68,522
V15,R69,564
V15,R70,261
V15,R71,466
V15,R72,277
V15,R73,318
V15,R74,580
V15,R75,327
V15,R76,463
V15,R77,358
V15,R78,375
V15,R79,433
V15,R80,580
V15,R81,421
V15,R82,464
V15,R83,534
V15,R84,260
V15,R85,514
V15,R86,522
V15,R87,531
V15,R88,496
V15,R89,524
V15,R90,544
V15,R91,340
V15,R92,376
V15,R93,260
V15,R94,304
V15,R95,354
V15,R96,433
V15,R97,508
V15,R98,457
V15,R99,534
V15,R100,516
V16,R1,340
V16,R2,459
V16,R3,380
V16,R4,293
V16,R5,399
V16,R6,373
V16,R7,547
V16,R8,517
V16,R9,498
V16,R10,340
V16,R11,362
V16,R12,351
V16,R13,526
V16,R14,433
V16,R15,495
V16,R16,335
V16,R17,411
V16,R18,284
V16,R19,393
V16,R20,419
V16,R21,441
V16,R22,580
V16,R23,580
V16,R24,522
V16,R25,474
V16,R26,522
V16,R27,516
V16,R28,520
V16,R29,365
V16,R30,290
V16,R31,477
V16,R32,571
V16,R33,556
V16,R34,299
V16,R35,505
V16,R36,260
V16,R37,458
V16,R38,423
V16,R39,316
V16,R40,514
V16,R41,464
V16,R42,544
V16,R43,349
V16,R44,410
V16,R45,402
V16,R46,381
V16,R47,316
V16,R48,372
V16,R49,580
V16,R50,519
V16,R51,474
V16,R52,396
V16,R53,288
V16,R54,260
V16,R55,316
V16,R56,443
V16,R57,504
V16,R58,283
V16,R59,553
V16,R60,468
V16,R61,393
V16,R62,580
V16,R63,569
V16,R64,438
V16,R65,260
V16,R66,383
V16,R67,349
V16,R68,348
V16,R69,323
V16,R70,343
V16,R71,430
V16,R72,343
V16,R73,558
V16,R74,316
V16,R75,403
V16,R76,363
V16,R77,319
V16,R78,347
V16,R79,580
V16,R80,471
V16,R81,293
V16,R82,316
V16,R83,495
V16,R84,327
V16,R85,265
V16,R86,461
V16,R87,266
V16,R88,512
V16,R89,366
V16,R90,306
V16,R91,427
V16,R92,473
V16,R93,425
V16,R94,327
V16,R95,400
V16,R96,490
V16,R97,491
V16,R98,304
V16,R99,572
V16,R100,359
V17,R1,410
V17,R2,328
V17,R3,383
V17,R4,393
V17,R5,457
V17,R6,530
V17,R7,330
V17,R8,483
V17,R9,300
V17,R10,312
V17,R11,580
V17,R12,336
V17,R13,464
V17,R14,378
V17,R15,536
V17,R16,405
V17,R17,301
V17,R18,442
V17,R19,323
V17,R20,297
V17,R21,414
V17,R22,309
V17,R23,300
V17,R24,345
V17,R25,417
V17,R26,372
V17,R27,423
V17,R28,502
V17,R29,389
V17,R30,398
V17,R31,296
V17,R32,401
V17,R33,359
V17,R34,505
V17,R35,580
V17,R36,508
V17,R37,269
V17,R38,260
V17,R39,348
V17,R40,337
V17,R41,338
V17,R42,501
V17,R43,515
V17,R44,280
V17,R45,453
V17,R46,580
V17,R47,445
V17,R48,347
V17,R49,418
V17,R50,404
V17,R51,312
V17,R52,349
V17,R53,269
V17,R54,374
V17,R55,279
V17,R56,301
V17,R57,559
V17,R58,269
V17,R59,308
V17,R60,569
V17,R61,514
V17,R62,472
V17,R63,341
V17,R64,540
V17,R65,580
V17,R66,397
V17,R67,458
V17,R68,348
V17,R69,325
V17,R70,545
V17,R71,417
V17,R72,479
V17,R73,554
V17,R74,339
V17,R75,472
V17,R76,469
V17,R77,282
V17,R78,339
V17,R79,361
V17,R80,399
V17,R81,353
V17,R82,359
V17,R83,438
V17,R84,566
V17,R85,294
V17,R86,260
V17,R87,448
V17,R88,411
V17,R89,443
V17,R90,458
V17,R91,537
V17,R92,288
V17,R93,476
V17,R94,335
V17,R95,260
V17,R96,511
V17,R97,366
V17,R98,306
V17,R99,580
V17,R100,342
V18,R1,471
V18,R2,465
V18,R3,477
V18,R4,362
V18,R5,444
V18,R6,372
V18,R7,448
V18,R8,457
V18,R9,530
V18,R10,436
V18,R11,294
V18,R12,413
V18,R13,402
V18,R14,322
V18,R15,412
V18,R16,418
V18,R17,451
V18,R18,319
V18,R19,544
V18,R20,273
V18,R21,428
V18,R22,457
V18,R23,495
V18,R24,545
V18,R25,532
V18,R26,346
V18,R27,453
V18,R28,362
V18,R29,322
V18,R30,334
V18,R31,375
V18,R32,295
V18,R33,345
V18,R34,294
V18,R35,447
V18,R36,278
V18,R37,382
V18,R38,260
V18,R39,493
V18,R40,348
V18,R41,288
V18,R42,325
V18,R43,433
V18,R44,353
V18,R45,308
V18,R46,442
